date,volume,open,close,predictions
2024-09-30,13180,124.0,124.4,122.38098907470703
2024-10-01,10499,124.4,124.6,122.50845336914062
2024-10-02,7002,124.2,124.4,122.69972229003906
2024-10-03,28535,124.6,124.4,122.91558074951172
2024-10-04,9177,124.6,124.6,123.08785247802734
2024-10-07,8433,124.6,124.8,123.22001647949219
2024-10-08,11163,124.8,125.0,123.34288024902344
2024-10-09,4435,125.0,124.8,123.46992492675781
2024-10-10,11750,124.8,125.2,123.60623168945312
2024-10-11,8145,125.2,125.2,123.70323944091797
2024-10-14,18754,125.4,125.8,123.82182312011719
2024-10-15,2897,125.8,126.0,123.93233489990234
2024-10-16,4188,125.8,126.0,124.09918212890625
2024-10-17,2488,126.0,126.4,124.28897094726562
2024-10-18,3554,126.2,126.2,124.46142578125
2024-10-21,3130,126.2,126.6,124.65206146240234
2024-10-22,2129,126.4,126.4,124.79740142822266
2024-10-23,8702,126.4,126.6,124.95429992675781
2024-10-24,3690,126.6,126.6,125.06827545166016
2024-10-25,12375,126.6,126.6,125.17518615722656
2024-10-28,12671,126.6,126.4,125.26460266113281
2024-10-29,1808,126.6,126.6,125.33592987060547
2024-10-30,4132,126.6,126.6,125.36697387695312
2024-10-31,1136,126.6,126.6,125.404541015625
2024-11-01,8785,126.8,127.0,125.44078826904297
2024-11-02,2528,127.0,127.0,125.47357177734375
2024-11-05,5719,127.2,127.2,125.55140686035156
2024-11-06,17079,127.2,126.0,125.6366958618164
2024-11-07,12142,113.4,125.4,125.73884582519531
2024-11-08,7178,122.2,124.2,125.68573760986328
2024-11-11,4820,125.0,122.4,125.50865936279297
